name,season,team_abbr,gs,ip,era,whip,k_per_9,k_per_9,bb_per_9,hr_per_9,fip_proxy
Josh Rogers,2021,WSN,6,35.2,3.28,1.29,5.6,5.625,3.579545454545454,1.789772727272727,5.728409090909091
Ian Anderson,2021,ATL,28,145.1,3.34,1.197,8.7,8.683666436940042,3.7215713301171607,1.0544452101998623,4.033907649896623
Gerrit Cole,2021,NYY,31,183.1,3.34,1.08,12.1,12.091753140360458,2.113599126160568,1.27799016930639,3.0634625887493176
Charlie Morton,2021,ATL,37,202.1,3.34,1.063,10.6,10.598713508164275,3.028203859475507,0.8015833745670461,3.011974270163286
Wade Miley,2021,CIN,28,163.0,3.37,1.325,6.9,6.901840490797547,2.7607361963190185,0.9386503067484662,3.9423312883435586
Frankie Montas,2021,OAK,32,187.0,3.37,1.182,10.0,9.962566844919786,2.7433155080213902,0.9625668449197861,3.290909090909091
Keegan Thompson,2021,CHC,6,53.1,3.38,1.481,9.3,9.322033898305085,5.254237288135593,1.5254237288135593,5.083239171374765
Adrian Houser,2021,MIL,26,145.1,3.41,1.287,6.6,6.5747760165403175,4.031702274293591,0.8683666436940042,4.337146795313577
Kwang Hyun Kim,2021,STL,21,106.2,3.46,1.284,6.8,6.779661016949152,3.305084745762712,1.0169491525423728,4.264030131826742
Reynaldo L\xc3\xb3pez,2021,CHC,9,59.2,3.47,0.955,8.6,8.66554054054054,2.1283783783783785,1.6722972972972971,4.399324324324325
Jos\xc3\xa9 Berr\xc3\xados,2021,TOR,32,192.0,3.52,1.063,9.6,9.5625,2.109375,1.03125,3.2677083333333337
Cristian Javier,2021,HOU,9,112.0,3.54,1.188,12.0,11.973214285714285,4.741071428571429,1.5267857142857144,4.325
Clayton Kershaw,2021,LAD,22,121.2,3.55,1.019,10.7,10.693069306930692,1.5594059405940592,1.113861386138614,2.9524752475247524
Michael King,2021,NYY,6,63.1,3.55,1.279,8.8,8.84310618066561,3.4231378763866878,0.8557844690966719,3.6120443740095087
Chris Flexen,2021,SEA,31,179.2,3.61,1.252,6.3,6.2779017857142865,2.0089285714285716,0.9542410714285715,3.8529017857142858
John Means,2021,BAL,26,146.2,3.62,1.03,8.2,8.248974008207936,1.6005471956224353,1.8467852257181945,4.567989056087551
Michael Pineda,2021,MIN,21,109.1,3.62,1.235,7.2,7.259395050412466,1.7323556370302478,1.4023831347387719,4.189917506874427
Patrick Sandoval,2021,LAD,14,87.0,3.62,1.207,9.7,9.724137931034482,3.7241379310344827,1.1379310344827587,3.924137931034483
Shane McClanahan,2021,TBR,26,129.0,3.63,1.302,10.0,10.046511627906977,2.6511627906976747,1.0465116279069768,3.3627906976744186
Lucas Giolito,2021,CHC,32,183.0,3.64,1.12,10.1,10.081967213114753,2.8032786885245904,1.3278688524590163,3.8120218579234972
Carlos Hern\xc3\xa1ndez,2021,KCR,11,85.2,3.68,1.284,7.8,7.816901408450704,4.330985915492958,0.7394366197183098,3.9746478873239437
Alex Wood,2021,SFG,27,143.1,3.7,1.172,9.8,9.811320754716983,2.578616352201258,0.8805031446540881,3.1510831586303287
Kyle Gibson,2021,TEX,30,182.0,3.71,1.22,7.7,7.664835164835164,3.164835164835165,0.8406593406593407,3.765934065934066
Casey Mize,2021,DET,30,150.1,3.71,1.137,7.1,7.075283144570287,2.45836109260493,1.4390406395736175,4.5257828114590275
Dillon Peters,2021,PIT,6,26.2,3.71,1.35,7.8,7.900763358778626,3.435114503816794,0.6870229007633588,3.5816793893129772
Framber Valdez,2021,HOU,27,154.1,3.73,1.322,8.2,8.234912394548996,3.854639844256976,1.0512654120700844,4.173393900064893
Tanner Houck,2021,BOS,13,79.1,3.74,1.071,11.0,11.036662452591656,2.3893805309734515,0.7964601769911506,2.6943109987357774
Justin Dunn,2021,SEA,11,50.1,3.75,1.311,8.8,8.802395209580839,5.209580838323353,1.0778443113772456,4.537325349301398
Tyler Mahle,2021,CIN,33,180.0,3.75,1.233,10.5,10.5,3.2,1.2,3.666666666666667
Jos\xc3\xa9 Suarez,2021,LAD,14,98.1,3.75,1.231,7.8,7.798165137614679,3.302752293577982,1.0091743119266057,4.0256880733944955
Alex Cobb,2021,LAD,18,93.1,3.76,1.264,9.5,9.473684210526317,3.1901181525241675,0.48335123523093454,2.856283566058002
Tony Gonsolin,2021,LAD,13,59.2,3.77,1.358,10.4,10.489864864864865,5.320945945945946,1.5202702702702702,4.838513513513513
