name,season,team_abbr,gs,ip,era,whip,k_per_9,k_per_9,bb_per_9,hr_per_9,fip_proxy
Jos\xc3\xa9 Ure\xc3\xb1a,2021,DET,18,100.2,5.81,1.599,6.0,6.017964071856287,3.772455089820359,1.2574850299401197,4.936526946107785
Patrick Corbin,2021,WSN,31,171.2,5.82,1.468,7.5,7.517523364485982,3.154205607476636,1.9450934579439254,5.390420560747664
Andrew Heaney,2021,NYY,23,129.2,5.83,1.319,10.4,10.448916408668731,2.8560371517027865,2.020123839009288,4.7479876160990715
Steven Brault,2021,PIT,7,27.2,5.86,1.627,6.2,6.286764705882353,3.9705882352941178,0.9926470588235294,4.560294117647059
Paul Blackburn,2021,OAK,9,38.1,5.87,1.617,6.1,6.141732283464567,2.3622047244094486,1.889763779527559,5.352230971128609
Charlie Barnes,2021,MIN,8,38.0,5.92,1.632,4.7,4.7368421052631575,3.789473684210526,0.9473684210526315,4.778947368421052
Riley Smith,2021,ARI,6,67.1,6.01,1.5,4.8,4.828614008941878,2.0119225037257826,1.3412816691505218,4.735022354694486
Carlos Carrasco,2021,NYY,12,53.2,6.04,1.435,8.4,8.458646616541353,3.045112781954887,2.0300751879699246,5.267669172932331
Dylan Bundy,2021,LAD,19,90.2,6.06,1.357,8.3,8.381374722838137,3.3924611973392462,1.9955654101995564,5.350776053215078
Jorge L\xc3\xb3pez,2021,BAL,25,121.2,6.07,1.627,8.3,8.316831683168317,4.158415841584159,1.5594059405940592,4.990429042904291
Mitch Keller,2021,PIT,23,100.2,6.17,1.788,8.2,8.263473053892215,4.401197604790419,0.8982035928143712,4.12814371257485
Carlos Mart\xc3\xadnez,2021,STL,16,82.1,6.23,1.372,6.2,6.248477466504264,3.9464068209500613,0.876979293544458,4.393666260657735
Logan Allen,2021,CLE,11,50.1,6.26,1.49,6.6,6.6467065868263475,3.053892215568862,2.155688622754491,5.854690618762476
Matt Harvey,2021,BAL,28,127.2,6.27,1.543,6.7,6.721698113207547,2.6179245283018866,1.3443396226415094,4.520754716981132
Max Kranick,2021,PIT,9,38.2,6.28,1.707,7.4,7.539267015706805,4.476439790575916,0.9424083769633507,4.378010471204188
Matt Moore,2021,PHI,13,73.0,6.29,1.589,7.8,7.767123287671233,4.684931506849315,1.8493150684931505,5.706849315068493
Vince Velasquez,2021,SDP,21,94.1,6.3,1.484,9.6,9.659936238044633,4.686503719447397,2.199787460148778,5.792986184909671
Packy Naughton,2021,LAD,5,22.2,6.35,1.809,4.8,4.864864864864865,5.675675675675675,1.2162162162162162,5.767567567567568
Griffin Jax,2021,MIN,14,82.0,6.37,1.354,7.1,7.134146341463415,3.1829268292682924,2.524390243902439,6.321951219512195
Jose Quintana,2021,SFG,10,63.0,6.43,1.73,12.1,12.142857142857144,5.0,1.7142857142857142,4.644444444444445
Chi Chi Gonz\xc3\xa1lez,2021,COL,18,101.2,6.46,1.525,5.0,4.980237154150198,2.490118577075099,1.6007905138339922,5.235573122529644
Trevor Cahill,2021,PIT,8,37.0,6.57,1.514,7.8,7.783783783783784,3.4054054054054057,0.972972972972973,4.010810810810811
Jes\xc3\xbas Luzardo,2021,OAK,18,95.1,6.61,1.615,9.3,9.274447949526815,4.542586750788645,1.8927444794952684,5.387171398527865
Keegan Akin,2021,BAL,17,95.0,6.63,1.579,7.8,7.768421052631579,3.789473684210526,1.6105263157894738,5.063157894736842
Kohei Arihara,2021,TEX,10,40.2,6.64,1.426,5.3,5.3731343283582085,2.9104477611940296,2.462686567164179,6.533333333333333
Zac Lowther,2021,BAL,6,29.2,6.67,1.652,9.1,9.246575342465754,4.006849315068493,1.8493150684931507,5.152054794520549
Sam Hentges,2021,CLE,12,68.2,6.68,1.777,8.9,8.973607038123166,4.222873900293255,1.319648093841642,4.519648093841642
Chase Anderson,2021,PHI,9,48.0,6.75,1.479,6.6,6.5625,3.75,1.875,5.7
Alex Wells,2021,BAL,8,42.2,6.75,1.617,5.5,5.545023696682463,3.4123222748815163,2.1327014218009475,6.185781990521328
Justus Sheffield,2021,SEA,15,80.1,6.83,1.842,7.1,7.078651685393258,4.831460674157304,1.5730337078651686,5.509612983770287
Thomas Eshelman,2021,BAL,6,27.2,7.16,1.59,3.6,3.639705882352941,3.308823529411765,1.9852941176470589,6.3617647058823525
Humberto Mej\xc3\xada,2021,ARI,5,22.1,7.25,1.836,8.1,8.144796380090497,3.665158371040724,2.0361990950226243,5.552941176470588
Jake Arrieta,2021,SDP,24,98.2,7.39,1.774,7.6,7.606924643584521,4.032586558044807,2.1995926680244398,6.030957230142566
Reid Detmers,2021,LAD,5,20.2,7.4,1.79,8.3,8.465346534653467,4.900990099009901,2.227722772277228,6.1702970297029704
Spencer Howard,2021,TEX,15,49.2,7.43,1.611,9.4,9.512195121951219,4.939024390243902,1.2804878048780488,4.582113821138211
Dean Kremer,2021,BAL,13,53.2,7.55,1.64,7.9,7.951127819548871,4.2293233082706765,2.8759398496240602,6.996992481203007
Randy Dobnak,2021,MIN,6,50.2,7.64,1.539,4.8,4.840637450199203,2.151394422310757,1.9721115537848606,5.69003984063745
Matt Shoemaker,2021,MIN,11,60.1,8.06,1.657,6.0,5.990016638935108,4.043261231281198,2.2462562396006653,6.461231281198003
Spenser Watkins,2021,BAL,10,54.2,8.07,1.701,5.8,5.81180811808118,3.154981549815498,2.3247232472324724,6.318081180811808
J.C. Mej\xc3\xada,2021,CLE,11,52.1,8.25,1.605,8.1,8.119001919385797,4.145873320537428,2.2456813819577732,6.021497120921305
Glenn Otto,2021,TEX,6,23.1,9.26,1.714,10.8,10.90909090909091,3.1168831168831166,0.7792207792207791,2.9402597402597404
Jackson Kowar,2021,KCR,8,30.1,11.27,2.077,8.6,8.67109634551495,5.980066445182724,2.0930232558139537,6.289700996677741
Cody Morris,2022,CLE,5,25.2,2.1,1.286,9.1,9.285714285714286,4.285714285714286,1.0714285714285714,4.112698412698413
Justin Verlander,2022,HOU,32,195.0,2.17,0.903,9.7,9.692307692307692,1.7076923076923076,0.6923076923076923,2.6153846153846154
Tony Gonsolin,2022,LAD,25,131.2,2.19,0.904,8.2,8.231707317073171,2.4695121951219514,0.7545731707317074,3.2838414634146345
Dylan Cease,2022,CHC,32,184.0,2.2,1.109,11.1,11.103260869565219,3.8152173913043477,0.7826086956521738,3.1347826086956525
Julio Ur\xc3\xadas,2022,LAD,32,180.0,2.25,0.956,8.6,8.6,2.05,1.2,3.7055555555555557
Matt Wisler,2022,TBR,5,44.0,2.25,1.0,7.2,7.159090909090908,2.8636363636363638,1.227272727272727,4.336363636363637
Sandy Alcantara,2022,MIA,32,228.2,2.28,0.98,8.1,8.163891323400525,1.971954425942156,0.6310254163014899,2.9546012269938653
Shohei Ohtani,2022,LAD,28,166.0,2.33,1.012,11.9,11.873493975903614,2.385542168674699,0.7590361445783131,2.4530120481927713
Alek Manoah,2022,TOR,32,202.1,2.36,0.988,8.2,8.193963384463137,2.3156853043047994,0.7570509648688768,3.2445324096981696
Cristian Javier,2022,HOU,27,161.1,2.4,0.917,11.7,11.731843575418994,3.1843575418994416,1.005586592178771,3.106890130353818
Clayton Kershaw,2022,LAD,23,131.1,2.4,0.952,9.8,9.816933638443937,1.5789473684210529,0.7551487414187643,2.635545385202136
Jeffrey Springs,2022,TBR,25,135.1,2.46,1.071,9.6,9.592894152479646,2.065136935603257,0.9326424870466322,3.1037749814951887
Tyler Anderson,2022,LAD,29,183.2,2.5,0.996,7.1,7.074235807860262,1.7685589519650655,0.6877729257641922,3.210917030567686
Zac Gallen,2022,ARI,31,184.0,2.54,0.913,9.4,9.391304347826086,2.298913043478261,0.7336956521739131,2.939130434782609
Shane McClanahan,2022,TBR,29,173.1,2.54,0.929,10.3,10.346620450606586,1.9757365684575392,1.0398613518197575,3.0613518197573657
Nestor Cortes,2022,NYY,31,170.1,2.59,0.963,9.0,8.994708994708995,2.380952380952381,0.9523809523809524,3.370487948265726
Max Fried,2022,ATL,31,188.2,2.62,1.044,8.2,8.225292242295431,1.5781083953241233,0.5738575982996812,2.727098831030818
Max Scherzer,2022,NYY,24,150.1,2.63,0.925,10.6,10.61292471685543,1.4390406395736175,1.0193204530313125,2.7936042638241174
Framber Valdez,2022,HOU,35,226.1,2.66,1.127,9.0,9.035824856258293,2.985404688191066,0.4776647501105706,2.877134011499337
Jalen Beeks,2022,TBR,7,61.0,2.8,1.164,10.3,10.327868852459016,3.2459016393442623,1.0327868852459017,3.478688524590164
Drew Rasmussen,2022,TBR,28,147.2,2.8,1.029,7.7,7.764945652173913,1.8953804347826089,0.7948369565217391,3.2543478260869567
Zack Wheeler,2022,PHI,32,188.2,2.81,0.981,9.3,9.373007438894794,1.9606801275239107,0.7173219978746016,2.8068012752391076
Shane Bieber,2022,CLE,33,213.1,2.83,1.031,9.0,8.995776630689818,1.689347724073205,0.8446738620366026,2.9841389019239797
Jose Quintana,2022,STL,33,171.0,2.84,1.193,7.4,7.368421052631579,2.526315789473684,0.42105263157894735,3.0128654970760236
Carlos Rod\xc3\xb3n,2022,SFG,31,178.0,2.88,1.028,12.0,11.983146067415731,2.629213483146067,0.6067415730337078,2.2898876404494386
Mart\xc3\xadn P\xc3\xa9rez,2022,TEX,32,196.1,2.89,1.258,7.7,7.756246812850587,3.166751657317695,0.5048444671086181,3.261193268740439
Luis Castillo,2022,SEA,27,164.2,2.9,1.057,9.8,9.811205846528624,2.4665042630937886,0.8221680876979295,3.029476248477467
Logan Webb,2022,SFG,32,192.1,2.9,1.159,7.6,7.636647579385738,2.295679333680375,0.5153565851119208,3.012597605413847
Patrick Sandoval,2022,LAD,27,148.2,2.91,1.339,9.1,9.170040485829961,3.6437246963562755,0.4858299595141701,3.0785425101214576
Joe Musgrove,2022,SDP,33,199.2,2.93,1.087,9.1,9.126506024096384,2.168674698795181,1.0391566265060241,3.395783132530121
Corbin Burnes,2022,MIL,33,202.0,2.94,0.965,10.8,10.826732673267326,2.272277227722772,1.0247524752475248,3.0316831683168317
Spencer Strider,2022,ATL,21,134.0,2.96,1.015,13.8,13.835820895522389,3.156716417910448,0.5373134328358209,1.9537313432835823
Triston McKenzie,2022,CLE,32,202.1,2.98,0.944,9.0,9.040079168728353,2.0930232558139537,1.202375061850569,3.6255319148936174
Edward Cabrera,2022,MIA,14,71.2,3.01,1.074,9.4,9.480337078651685,4.171348314606742,1.2640449438202246,4.309550561797753
Ross Stripling,2022,TOR,24,134.1,3.01,1.02,7.4,7.449664429530202,1.342281879194631,0.8053691275167786,3.1552572706935127
Joey Wentz,2022,DET,7,32.2,3.03,1.102,7.4,7.546583850931676,3.633540372670807,0.5590062111801242,3.541614906832298
Brandon Woodruff,2022,MIL,27,153.1,3.05,1.07,11.2,11.16917047681254,2.4689745264532985,1.0581319399085565,3.0693664271717833
Yu Darvish,2022,SDP,34,219.2,3.07,0.961,9.0,9.032846715328468,1.7655109489051095,1.1906934306569346,3.501094890510949
Jacob deGrom,2022,NYY,12,70.1,3.07,0.782,14.1,14.122681883024253,1.2838801711840229,1.2838801711840229,2.344079885877318
Sonny Gray,2022,MIN,24,119.2,3.08,1.128,8.8,8.833892617449663,2.7181208053691277,0.8305369127516777,3.34261744966443
Andrew Heaney,2022,LAD,14,75.2,3.09,1.11,13.6,13.643617021276595,2.5132978723404253,1.7952127659574468,3.5989361702127662
Kyle Wright,2022,ATL,31,186.1,3.09,1.138,8.7,8.704997313272434,2.6114991939817305,0.9188608275120903,3.4632993014508333
Javier Assad,2022,CHC,8,37.2,3.11,1.46,7.2,7.258064516129032,4.838709677419354,0.9677419354838709,4.597849462365591
Adrian Sampson,2022,CHC,19,104.1,3.11,1.227,6.3,6.311239193083574,2.3342939481268012,0.8645533141210375,3.824399615754083
Lance McCullers Jr.,2022,HOU,11,63.0,3.14,1.254,9.7,9.714285714285714,3.714285714285714,1.2857142857142856,4.136507936507937
Wade Miley,2022,CHC,8,37.0,3.16,1.216,6.8,6.810810810810811,3.4054054054054057,0.7297297297297298,3.8756756756756756
Bryce Elder,2022,ATL,9,54.0,3.17,1.241,7.8,7.833333333333333,3.8333333333333335,0.6666666666666666,3.7
John Brebbia,2022,SFG,11,68.0,3.18,1.309,7.1,7.147058823529411,2.3823529411764706,0.6617647058823529,3.361764705882353
Justin Steele,2022,CHC,24,119.0,3.18,1.353,9.5,9.529411764705882,3.7815126050420167,0.6050420168067226,3.2168067226890757
George Kirby,2022,SEA,26,138.0,3.2,1.188,9.1,9.065217391304348,1.5,0.8478260869565217,2.910144927536232
Bailey Ober,2022,MIN,11,56.0,3.21,1.054,8.2,8.196428571428571,1.7678571428571428,0.6428571428571428,2.896428571428572
Johan Oviedo,2022,STL,8,56.0,3.21,1.286,8.7,8.678571428571429,3.696428571428571,0.8035714285714286,3.6642857142857146
Trevor Williams,2022,NYY,9,89.2,3.21,1.227,8.4,8.475336322869955,2.3206278026905824,1.210762331838565,3.8390134529147986
Nick Martinez,2022,SDP,10,117.1,3.22,1.202,8.1,8.146883005977797,3.22801024765158,1.229718189581554,4.241844577284373
Dean Kremer,2022,BAL,21,125.1,3.23,1.253,6.2,6.258992805755396,2.446043165467626,0.7913669064748202,3.767545963229417
Brady Singer,2022,KCR,24,153.1,3.23,1.141,8.8,8.817766165904638,2.0574787720444156,1.0581319399085565,3.454735467015023
Logan Gilbert,2022,SEA,33,191.0,3.25,1.183,8.4,8.43455497382199,2.4031413612565444,0.9424083769633508,3.4879581151832464
Miles Mikolas,2022,STL,33,206.2,3.31,1.026,6.8,6.808923375363725,1.7458777885548014,1.1348205625606207,3.9080504364694475
Andre Pallante,2022,STL,10,108.2,3.31,1.426,6.1,6.155268022181146,3.327171903881701,0.7486136783733826,4.022550831792977
Jes\xc3\xbas Luzardo,2022,MIA,18,100.1,3.32,1.037,10.8,10.78921078921079,3.146853146853147,0.8991008991008991,3.1500499500499504
Michael Wacha,2022,BOS,23,127.1,3.32,1.115,7.4,7.364280094413847,2.1951219512195124,1.2745869394177813,4.136270653029111
Johnny Cueto,2022,CHC,24,158.1,3.35,1.225,5.8,5.806451612903226,1.8785578747628084,0.8538899430740038,3.769259962049336
Luis Severino,2022,NYY,21,113.0,3.35,1.027,9.9,9.876106194690266,2.4690265486725664,1.1946902654867257,3.553982300884956
Merrill Kelly,2022,ARI,33,200.1,3.37,1.138,8.0,7.9610194902548725,2.7436281859070464,0.944527736131934,3.709745127436282
Matt Manning,2022,DET,12,63.0,3.43,1.175,6.9,6.857142857142857,2.714285714285714,0.8571428571428571,3.8190476190476192
Jordan Montgomery,2022,STL,32,181.0,3.43,1.105,8.0,8.005524861878452,1.9392265193370166,1.0441988950276242,3.5756906077348067
Aaron Nola,2022,PHI,37,230.2,3.43,1.001,10.2,10.243266724587317,1.3292788879235449,0.8992180712423979,2.665682015638575
Kevin Gausman,2022,TOR,32,180.1,3.44,1.231,10.6,10.594114380899502,1.4491948917268185,0.7495835646862855,2.4115491393670183
Ranger Suarez,2022,PHI,32,170.0,3.44,1.306,7.5,7.517647058823529,3.388235294117647,0.8470588235294118,3.882352941176471
Gerrit Cole,2022,NYY,36,219.0,3.45,1.018,11.5,11.506849315068493,2.219178082191781,1.4794520547945205,3.5196347031963473
Garrett Whitlock,2022,BOS,9,78.1,3.45,1.021,9.4,9.449423815621,1.7285531370038414,1.1523687580025608,3.340845070422535
Matt Bush,2022,TEX,6,59.2,3.47,1.022,11.2,11.25,2.7364864864864864,1.6722972972972971,4.027702702702703
Ryan Pepiot,2022,LAD,7,36.1,3.47,1.459,10.4,10.470914127423823,6.731301939058172,1.4958448753462603,5.2775623268698055
Drew Smyly,2022,CHC,22,106.1,3.47,1.194,7.7,7.719132893496702,2.2054665409990575,1.3572101790763433,4.180207351555137
Cal Quantrill,2022,CLE,34,196.1,3.48,1.207,6.2,6.241713411524732,2.3406425293217747,1.1014788373278939,4.18419173890872
Chris Bassitt,2022,NYY,31,185.2,3.49,1.153,8.2,8.212742980561556,2.5269978401727866,0.9233261339092873,3.5509719222462204
Blake Snell,2022,SDP,27,141.2,3.49,1.249,11.9,11.983002832861192,3.824362606232295,0.7648725212464589,2.91671388101983
Taijuan Walker,2022,NYY,29,157.1,3.49,1.195,7.6,7.562062380649268,2.5779758115849774,0.859325270528326,3.620114576702737
Marcus Stroman,2022,CHC,25,138.2,3.5,1.147,7.7,7.749638205499277,2.344428364688857,1.0419681620839365,3.764399421128799
Tarik Skubal,2022,DET,21,117.2,3.52,1.156,8.9,8.984641638225256,2.4573378839590445,0.6911262798634813,3.0208191126279864
Michael Kopech,2022,CHC,25,119.1,3.54,1.19,7.9,7.934508816120907,4.307304785894207,1.1335012594458438,4.509823677581864
Joe Ryan,2022,MIN,27,147.0,3.55,1.102,9.2,9.244897959183675,2.8775510204081636,1.2244897959183674,3.8734693877551023
Domingo Germ\xc3\xa1n,2022,NYY,14,73.1,3.56,1.173,7.2,7.264021887824898,2.585499316005472,1.3543091655266757,4.4038303693570455
Braxton Garrett,2022,MIA,17,88.0,3.58,1.25,9.2,9.204545454545455,2.454545454545454,0.9204545454545455,3.3022727272727272
Freddy Peralta,2022,MIL,17,78.0,3.58,1.038,9.9,9.923076923076923,3.1153846153846154,0.6923076923076923,3.0333333333333337
Sam Long,2022,SFG,6,42.1,3.61,1.252,7.0,7.054631828978621,2.992874109263658,1.7102137767220902,5.100237529691212
Luis Garcia,2022,HOU,28,163.0,3.64,1.117,9.0,9.0,2.5950920245398774,1.325153374233129,3.9791411042944786
Nick Lodolo,2022,CIN,19,103.1,3.66,1.248,11.4,11.43549951503395,3.4044616876818625,1.1348205625606207,3.4327837051406402
Zack Greinke,2022,KCR,26,137.0,3.68,1.343,4.8,4.795620437956204,1.7737226277372264,0.9197080291970803,4.054014598540146
Eric Lauer,2022,MIL,29,158.2,3.69,1.223,8.9,8.93173198482933,3.356510745891277,1.5360303413400758,4.552718078381796
Devin Smeltzer,2022,MIN,12,70.1,3.71,1.223,5.1,5.1355206847360915,2.4393723252496433,1.6690442225392297,5.282738944365192
Adam Wainwright,2022,STL,32,191.2,3.71,1.283,6.7,6.731171548117155,2.541841004184101,0.7531380753138076,3.6393305439330548
Alex Cobb,2022,SFG,28,149.2,3.73,1.303,9.1,9.108579088471851,2.593833780160858,0.5428954423592494,2.8246648793565683
Chris Flexen,2022,SEA,22,137.2,3.73,1.329,6.2,6.231778425655977,3.3454810495626828,1.1151603498542275,4.541107871720117
Pablo L\xc3\xb3pez,2022,MIA,32,180.0,3.75,1.167,8.7,8.7,2.65,1.05,3.666666666666667
Keegan Thompson,2022,CHC,17,115.0,3.76,1.27,8.5,8.45217391304348,3.365217391304348,1.2521739130434784,4.252173913043478
Reid Detmers,2022,LAD,25,129.0,3.77,1.209,8.5,8.511627906976745,3.2093023255813957,0.9069767441860465,3.688372093023256
Roansy Contreras,2022,PIT,18,95.0,3.79,1.274,8.1,8.147368421052631,3.694736842105263,1.231578947368421,4.4
Louis Varland,2022,MIN,5,26.0,3.81,1.231,7.3,7.269230769230769,2.076923076923077,1.3846153846153846,4.276923076923077
David Peterson,2022,NYY,19,107.2,3.85,1.328,10.7,10.746268656716417,4.029850746268657,0.9235074626865671,3.489179104477612
JP Sears,2022,OAK,11,70.0,3.86,1.286,6.6,6.557142857142857,2.9571428571428573,1.0285714285714285,4.214285714285714
Nathan Eovaldi,2022,BOS,20,109.1,3.87,1.235,8.5,8.4967919340055,1.6498625114573786,1.7323556370302478,4.364069660861595
Jos\xc3\xa9 Urquidy,2022,HOU,28,167.1,3.87,1.159,7.4,7.432675044883304,2.1005385996409336,1.5619389587073609,4.50460801915021
Konnor Pilkington,2022,CLE,11,58.0,3.88,1.466,7.8,7.758620689655172,4.9655172413793105,0.9310344827586207,4.475862068965517
Robbie Ray,2022,SEA,33,192.2,3.88,1.204,10.1,10.161290322580646,2.9032258064516134,1.6389177939646205,4.277003121748179
Noah Syndergaard,2022,PHI,26,143.0,3.9,1.231,6.5,6.4825174825174825,2.013986013986014,1.006993006993007,3.8853146853146856
Mitch Keller,2022,PIT,29,159.0,3.91,1.396,7.8,7.811320754716982,3.3962264150943398,0.7924528301886792,3.740880503144654
Zach Eflin,2022,PHI,13,86.1,3.96,1.158,8.0,8.048780487804878,1.7770034843205575,0.9407665505226481,3.3626016260162603
Jon Gray,2022,TEX,24,127.1,3.96,1.131,9.5,9.488591660110151,2.761605035405193,1.2037765538945713,3.7507474429583008
Jos\xc3\xa9 Suarez,2022,LAD,20,109.0,3.96,1.248,8.5,8.504587155963304,2.724770642201835,1.1559633027522938,3.888073394495413
Jameson Taillon,2022,NYY,33,181.2,3.96,1.156,7.5,7.5,1.7384105960264902,1.2913907284768213,3.9781456953642387
Carlos Carrasco,2022,NYY,29,152.0,3.97,1.329,9.0,9.0,2.4276315789473686,1.006578947368421,3.463157894736842
Cole Irvin,2022,OAK,30,181.0,3.98,1.16,6.4,6.3646408839779,1.7900552486187844,1.2430939226519337,4.177900552486188
Lance Lynn,2022,CHC,21,121.2,3.99,1.134,9.2,9.207920792079207,1.410891089108911,1.410891089108911,3.662046204620462
Walker Buehler,2022,LAD,12,65.0,4.02,1.292,8.0,8.03076923076923,2.353846153846154,1.1076923076923078,3.8000000000000003
Garrett Hill,2022,DET,8,60.1,4.03,1.359,6.0,5.990016638935108,4.342762063227953,1.1980033277870215,5.046921797004992
Chris Paddack,2022,MIN,5,22.1,4.03,1.209,8.1,8.144796380090497,0.8144796380090498,0.0,1.6615384615384619
Daniel Castano,2022,MIA,7,35.2,4.04,1.43,5.0,5.113636363636363,2.3011363636363638,1.2784090909090908,4.677272727272728
Eduardo Rodr\xc3\xadguez,2022,DET,17,91.0,4.05,1.33,7.1,7.1208791208791204,3.3626373626373627,1.1868131868131868,4.452747252747253
Zach Davies,2022,ARI,27,134.1,4.09,1.295,6.8,6.845637583892618,3.48993288590604,1.4093959731543624,4.877852348993288
Frankie Montas,2022,OAK,27,145.1,4.09,1.245,8.9,8.8697450034459,2.667126119917299,1.1784975878704342,3.82026188835286
Marco Gonzales,2022,SEA,32,183.0,4.13,1.333,5.1,5.0655737704918025,2.459016393442623,1.4754098360655736,5.025136612021858
Matt Brash,2022,SEA,5,54.0,4.17,1.463,11.0,11.0,5.5,0.5,3.3111111111111113
Beau Brieske,2022,DET,15,81.2,4.19,1.2,6.0,5.985221674876847,2.770935960591133,1.5517241379310343,5.034975369458128
James Kaprielian,2022,OAK,26,134.0,4.23,1.343,6.6,6.582089552238806,3.962686567164179,1.0746268656716418,4.61044776119403
Michael Lorenzen,2022,LAD,18,97.2,4.24,1.28,7.8,7.87037037037037,4.074074074074074,1.0185185185185186,4.280246913580247
Bailey Falter,2022,PHI,17,84.2,4.25,1.252,7.9,7.909738717339667,1.9239904988123515,1.817102137767221,4.7083135391924
Jack Flaherty,2022,STL,8,36.0,4.25,1.611,8.3,8.25,5.5,1.0,4.644444444444445
Tyler Wells,2022,BAL,23,103.2,4.25,1.138,6.6,6.627906976744185,2.441860465116279,1.3953488372093024,4.556589147286822
Rich Hill,2022,BOS,26,124.1,4.27,1.303,7.9,7.90491539081386,2.6833199033037873,1.0878323932312652,3.9091055600322324
Zach Plesac,2022,CLE,24,132.2,4.27,1.312,6.9,6.944024205748867,2.586989409984872,1.293494704992436,4.3875945537065055
Paul Blackburn,2022,OAK,21,111.1,4.28,1.257,7.2,7.20972097209721,2.43024302430243,1.215121512151215,4.163096309630963
An\xc3\xadbal S\xc3\xa1nchez,2022,WSN,14,69.1,4.28,1.269,6.2,6.2518089725036186,4.298118668596238,1.6931982633863967,5.689146164978293
Austin Voth,2022,WSN,17,101.2,4.34,1.397,8.0,8.003952569169961,2.7569169960474307,1.2450592885375495,4.1387351778656125
Corey Kluber,2022,TBR,31,165.2,4.35,1.207,7.6,7.627118644067798,1.1440677966101698,1.1440677966101698,3.538983050847458
Tyler Mahle,2022,MIN,23,120.2,4.4,1.218,9.4,9.434276206322796,3.219633943427621,1.1980033277870215,3.9071547420965063
Rony Garc\xc3\xada,2022,DET,8,51.0,4.41,1.039,8.5,8.470588235294118,2.2941176470588234,1.5882352941176472,4.376470588235295
Jakob Junis,2022,SFG,17,112.0,4.42,1.295,7.9,7.875,2.0089285714285716,1.0446428571428572,3.6285714285714286
Jordan Lyles,2022,BAL,32,179.0,4.42,1.385,7.2,7.240223463687151,2.6145251396648046,1.3072625698324023,4.350837988826816
Aaron Ashby,2022,MIL,19,107.1,4.44,1.425,10.6,10.588235294117647,3.9495798319327737,1.2605042016806722,3.984313725490196
Hunter Greene,2022,CIN,24,125.2,4.44,1.21,11.7,11.789137380191693,3.450479233226837,1.7252396166134185,4.222364217252396
Dakota Hudson,2022,STL,26,139.2,4.45,1.446,5.0,5.043103448275863,3.9439655172413794,0.581896551724138,4.23448275862069
Charlie Morton,2022,ATL,32,174.0,4.45,1.247,10.8,10.758620689655173,3.310344827586207,1.5,4.0793103448275865
Jake Odorizzi,2022,HOU,22,109.1,4.45,1.326,7.2,7.259395050412466,3.1347387717690194,1.154903758020165,4.2999083409715855
Dane Dunning,2022,TEX,29,153.1,4.46,1.435,8.0,8.05355976485957,3.6446766819072502,1.1757021554539517,4.323448726322665
MacKenzie Gore,2022,SDP,13,70.0,4.5,1.471,9.3,9.257142857142856,4.757142857142857,0.9,4.0285714285714285
Dustin May,2022,LAD,6,30.0,4.5,1.167,8.7,8.7,4.2,0.9,3.966666666666667
Ryan Yarbrough,2022,TBR,9,80.0,4.5,1.375,6.9,6.8625,2.475,1.3499999999999999,4.45
Kyle Freeland,2022,COL,31,174.2,4.53,1.408,6.8,6.768082663605052,2.738231917336395,0.981630309988519,4.026636050516648
Drew Hutchison,2022,DET,18,105.1,4.53,1.481,5.8,5.82302568981922,3.5965746907706944,1.2844909609895339,4.9602283539486205
Chris Archer,2022,MIN,25,102.2,4.56,1.315,7.4,7.397260273972602,4.227005870841487,1.0567514677103718,4.491585127201565
Nick Pivetta,2022,BOS,33,179.2,4.56,1.38,8.8,8.789062500000002,3.6662946428571432,1.3560267857142858,4.427678571428571
Luis Cessa,2022,CIN,10,80.2,4.57,1.289,6.6,6.620947630922693,3.1421446384039897,1.5710723192019949,5.045386533665836
Michael Grove,2022,LAD,6,29.1,4.6,1.432,7.4,7.422680412371133,3.0927835051546393,1.8556701030927834,5.261855670103093
Glenn Otto,2022,TEX,27,135.2,4.64,1.334,7.1,7.122781065088758,4.127218934911244,1.3979289940828403,5.012130177514793
JT Brubaker,2022,PIT,28,144.0,4.69,1.465,9.2,9.1875,3.375,1.0625,3.8180555555555555
Spenser Watkins,2022,BAL,20,105.1,4.7,1.415,5.4,5.3948620361560415,2.5689819219790677,0.9419600380589915,4.218078020932445
Josh Winder,2022,MIN,11,67.0,4.7,1.299,6.3,6.313432835820896,2.417910447761194,1.4776119402985075,4.737313432835821
Brayan Bello,2022,BOS,11,57.1,4.71,1.779,8.6,8.669001751313486,4.25569176882662,0.1576182136602452,2.9197898423817863
Jordan Hicks,2022,STL,8,63.0,4.71,1.302,9.1,9.142857142857142,5.142857142857142,0.7142857142857142,3.9142857142857146
Adrian Houser,2022,MIL,21,102.2,4.73,1.461,6.0,6.0763209393346385,4.138943248532289,0.7045009784735812,4.2469667318982385
Mike Clevinger,2022,SDP,24,117.0,4.77,1.274,7.2,7.230769230769231,2.9230769230769234,1.6923076923076923,5.011965811965812
Vince Velasquez,2022,CHC,9,75.1,4.78,1.235,8.2,8.268974700399468,2.9960053262316912,1.3182423435419441,4.265246338215713
Kyle Hendricks,2022,CHC,16,84.1,4.8,1.292,7.0,7.063020214030916,2.5683709869203333,1.6052318668252084,4.805231866825208
Tyler Alexander,2022,DET,17,101.0,4.81,1.317,5.4,5.435643564356435,2.227722772277228,1.6039603960396038,5.0514851485148515
