team_abbr,season,team_avg_starter_era,team_avg_starter_whip,team_avg_starter_k_per_9,team_avg_starter_k_per_9,team_avg_starter_bb_per_9,team_avg_starter_hr_per_9,team_avg_starter_fip_proxy
COL,2021,4.788333333333333,1.3538333333333332,7.650000000000001,7.668514401613266,2.8480716840399847,1.2786716365687336,4.292213058254107
COL,2022,5.276666666666666,1.4663333333333333,6.8999999999999995,6.898568324076554,2.9388322262184245,1.320965616720111,4.5546570053181785
COL,2023,6.24,1.608125,6.5625,6.5941049090009605,3.5752410691871015,1.722975933368612,5.415133391483483
COL,2024,5.888571428571429,1.5232857142857144,6.257142857142857,6.258856620604514,2.8771643966299396,1.6855301651161148,5.202852455021143
COL,2025,6.904999999999999,1.6931,6.4799999999999995,6.515919268600458,3.7814725401997125,1.9080366161223785,5.768561676998795
DET,2021,4.16375,1.294125,7.2,7.2040664837670505,2.9261943250015134,1.2223243916546576,4.340074122108999
DET,2022,4.828333333333333,1.3445,6.833333333333333,6.868980567500574,3.1509139171186558,1.4946509039695093,4.882804707550938
DET,2023,4.7162500000000005,1.243,8.4,8.425572080386575,3.0076114790252824,1.3116994208297574,4.224864749676616
DET,2024,3.9466666666666663,1.2377777777777779,8.133333333333333,8.150469728161632,2.880276673710398,1.0636936321637462,3.8853230869929596
DET,2025,3.848888888888889,1.2418888888888888,8.544444444444444,8.572098830296634,3.158013604609606,1.2668604589865915,4.1776699022290265
HOU,2021,3.7871428571428574,1.2032857142857143,8.914285714285715,8.91562218463383,3.1946249813879786,1.2852118846357414,4.14004278612899
HOU,2022,3.19,1.1147142857142858,9.1,9.123761704795209,2.7745870925740515,1.0718956301817106,3.6456534511659973
HOU,2023,4.36375,1.3603750000000001,8.4875,8.48905271636104,3.5156882085649457,1.4396682784541637,4.564960756986321
HOU,2024,4.362857142857143,1.34,8.571428571428571,8.613597046706513,3.6921246261259886,1.2062077842685501,4.258875664495122
